FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,606,PIT,SFO,725,1.0,1002,19.0,307.0,2254.0,0.0,0.0,19.0,0.0,0.0
2018-01-01,UA,592,ORD,LAX,1605,117.0,1831,128.0,223.0,1744.0,20.0,0.0,11.0,0.0,97.0
2018-01-01,UA,578,ORD,BOS,1345,29.0,1707,21.0,105.0,867.0,0.0,21.0,0.0,0.0,0.0
2018-01-01,UA,569,RIC,ORD,630,35.0,746,30.0,103.0,642.0,30.0,0.0,0.0,0.0,0.0
2018-01-01,UA,568,EWR,ATL,1650,54.0,1924,44.0,120.0,746.0,0.0,44.0,0.0,0.0,0.0
2018-01-01,UA,565,IAD,SFO,2020,38.0,2332,17.0,309.0,2419.0,0.0,0.0,0.0,0.0,17.0
2018-01-01,UA,552,MCI,ORD,500,11.0,635,29.0,58.0,403.0,11.0,0.0,18.0,0.0,0.0
2018-01-01,UA,546,SAN,IAD,805,-2.0,1551,33.0,251.0,2253.0,0.0,0.0,33.0,0.0,0.0
2018-01-01,UA,541,SFO,EUG,1555,97.0,1733,91.0,66.0,451.0,8.0,0.0,0.0,0.0,83.0
2018-01-01,UA,526,DEN,BZN,2025,49.0,2212,31.0,77.0,524.0,1.0,0.0,0.0,0.0,30.0
2018-01-01,UA,522,SFO,PDX,2230,14.0,15,29.0,74.0,550.0,2.0,0.0,15.0,0.0,12.0
2018-01-01,UA,519,LGA,ORD,900,55.0,1043,34.0,119.0,733.0,34.0,0.0,0.0,0.0,0.0
2018-01-01,UA,500,IND,SFO,730,52.0,933,103.0,273.0,1943.0,52.0,0.0,51.0,0.0,0.0
2018-01-01,UA,497,EWR,SFO,830,14.0,1144,29.0,334.0,2565.0,14.0,0.0,15.0,0.0,0.0
2018-01-01,UA,497,SFO,SAN,1250,45.0,1424,36.0,66.0,447.0,36.0,0.0,0.0,0.0,0.0
2018-01-01,UA,492,SFO,LAS,1250,32.0,1428,25.0,63.0,414.0,25.0,0.0,0.0,0.0,0.0
2018-01-01,UA,490,ORD,LAX,620,11.0,859,40.0,232.0,1744.0,11.0,0.0,29.0,0.0,0.0
2018-01-01,UA,473,ORD,IND,2055,47.0,2259,41.0,37.0,177.0,41.0,0.0,0.0,0.0,0.0
2018-01-01,UA,472,DTW,SFO,1855,46.0,2054,29.0,264.0,2079.0,0.0,17.0,0.0,0.0,12.0
2018-01-01,UA,471,SFO,DTW,1040,18.0,1807,32.0,232.0,2079.0,18.0,0.0,14.0,0.0,0.0
2018-01-01,UA,470,ORD,SFO,910,40.0,1149,22.0,235.0,1846.0,0.0,22.0,0.0,0.0,0.0
2018-01-01,UA,467,EWR,MIA,1950,84.0,2259,96.0,159.0,1085.0,84.0,0.0,12.0,0.0,0.0
2018-01-01,UA,461,DEN,IAD,1237,6.0,1749,39.0,163.0,1452.0,6.0,0.0,33.0,0.0,0.0
